,,TERRENA,,,,,,,,,,,
,Reporte Diario de Ventas,,,,,,,,,,,,
,Hora del reporte:,,,"nov 04 2025, 12:28 PM",,,,,,,,,
,Rango de fechas:,,,sep 01 2025  to sep 30 2025 ,,,,,,,,,
,Caja:,,,TODOS,,,,,,,,,
,Moneda:,,,Precio en MXN ($),,,,,,,,,
Item Sales,,,,,,,,,,,,,
ID,,,Nombre,,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,EXTYRA QUESO HEBRA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
,,,,,,,,,Pag.: 7,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,PIERNA EXTRA ,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,EXTRA JAMON ,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLAS,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,JUGO DE NARANJA,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,5 TORTILLAS,3.00,,1.0,3.00,0.0,0.0%,0.00,,3.00
0,PICADA EXTRA DE ,18.00,,1.0,18.00,0.0,0.0%,0.00,,18.00
0,EXTRA PAASTOR ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,5PESOS DE TORTILLA,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,EXTRA POLLO ,5.00,,3.0,15.00,0.0,0.0%,0.00,,15.00
0,maku horch,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,CACQAHUATES,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA HUEVO  ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,15 TORTILLA ,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,3 PESOS DE TORTILLA,3.00,,1.0,3.00,0.0,0.0%,0.00,,3.00
0,tortilla 10 opesos,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,PECHUGA ASADA,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,GALLETA MASAFINA,6.00,,1.0,6.00,0.0,0.0%,0.00,,6.00
0,TORTILLAS,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,pastor,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,HUEVO,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,tortilla 5 pesos ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,queso hebra ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,CACAHUATES,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,CLORETS 2 ,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,MAKU 2,40.00,,4.0,160.00,0.0,0.0%,0.00,,160.00
0,EXTRA POLLO ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA PIERNA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,2 PESOS,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,tortilla 5 pesos,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0, MAKU,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,2 ENCHILADAS EXTRTAS ,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,EXTRA JAMON,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA POLLO ,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,2 ENCHILADAS EXTRA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,xtra pollo,12.00,,1.0,12.00,0.0,0.0%,0.00,,12.00
0,PALOMITAS CHILE,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,5 tridents,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
,,,,,,,,,Pag.: 8,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,HUEVO ESTRELLADO ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,leche ,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,maku,20.00,,12.0,240.00,0.0,0.0%,0.00,,240.00
0,PASTOR,15.00,,4.0,60.00,0.0,0.0%,0.00,,60.00
0,HUEVO,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,GALLETAZ NUEZ,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,PALOMITAS 2,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,TORTILLAS 10 PESOS,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
